2019-03-18 16:58:01 INFO  Hook:67 - Chrome Browser Launched Successfully
2019-03-18 16:58:37 INFO  BaseUtil:656 - Click Save
2019-03-18 16:58:37 INFO  BaseUtil:359 - Click on Add Stage
2019-03-18 16:58:37 INFO  BaseUtil:363 - Stage Name :Maneesh
2019-03-18 16:58:38 INFO  BaseUtil:374 - Click on Tick Mark
2019-03-18 16:58:38 INFO  BaseUtil:384 - Click On Click To Task
2019-03-18 16:58:38 INFO  BaseUtil:394 - Mouse Over on tracking
2019-03-18 16:58:38 INFO  BaseUtil:399 - Mouse Over on bamboo
2019-03-18 16:58:39 INFO  BaseUtil:404 - Click On Queue Build
2019-03-18 16:58:39 INFO  BaseUtil:415 - Click On Task Name
2019-03-18 16:58:40 INFO  BaseUtil:419 - Task Name:BambooTask
2019-03-18 16:58:40 INFO  BaseUtil:429 - Click on Tick Mark to create task
2019-03-18 16:58:40 INFO  BaseUtil:440 - Click on Vertical Ellipses
2019-03-18 16:58:40 INFO  BaseUtil:451 - Click on Edit Configurations
2019-03-18 16:58:41 INFO  BaseUtil:536 - Click on BambooHost
2019-03-18 16:58:42 INFO  BaseUtil:541 - BambooHost :http://54.149.196.230
2019-03-18 16:58:42 INFO  BaseUtil:548 - Click on Bamboo UserName
2019-03-18 16:58:42 INFO  BaseUtil:553 - BambooUsername :matilda
2019-03-18 16:58:43 INFO  BaseUtil:559 - Click on Bamboo Password
2019-03-18 16:58:43 INFO  BaseUtil:564 - BambooPassword :matilda
2019-03-18 16:58:43 INFO  BaseUtil:570 - Click on Bamboo Port
2019-03-18 16:58:43 INFO  BaseUtil:575 - BambooPort :8050
2019-03-18 16:58:43 INFO  BaseUtil:581 - Click on Bamboo Plan Key
2019-03-18 16:58:44 INFO  BaseUtil:586 - BambooPlanKey :MAT-TEST
2019-03-18 16:58:44 INFO  BaseUtil:592 - Click on Bamboo Project Key
2019-03-18 16:58:44 INFO  BaseUtil:597 - BambooProjectkey :MAT
2019-03-18 16:58:44 INFO  BaseUtil:603 - Click on Bamboo Build Key
2019-03-18 16:58:45 INFO  BaseUtil:608 - BambooBuildKey :TEST
2019-03-18 16:58:45 INFO  BaseUtil:614 - Click on Bamboo Build Key
2019-03-18 16:58:48 INFO  BaseUtil:668 - Click Save Workflow
2019-03-18 16:58:55 INFO  BaseUtil:679 - Click on View Workflow Icon
2019-03-18 16:58:55 INFO  BaseUtil:690 - Click on Save as Template
2019-03-18 16:58:55 INFO  BaseUtil:701 - Click on Template Name Textbox
2019-03-18 16:58:56 INFO  BaseUtil:711 - Template Name :Template_March18
2019-03-18 16:58:57 INFO  BaseUtil:723 - Click on Save Template button
2019-03-18 16:59:00 INFO  BaseUtil:776 - Click on Clone Environment
2019-03-18 16:59:00 INFO  BaseUtil:788 - Click on Template Name Textbox
2019-03-18 16:59:02 INFO  BaseUtil:799 - Target Environment Name :New_TargetEnvironment_March18
2019-03-18 16:59:02 INFO  BaseUtil:811 - Click on Target Environment Type
2019-03-18 16:59:02 INFO  BaseUtil:823 - Select Target Environment Type
2019-03-18 16:59:02 INFO  BaseUtil:835 - Select Target Environment Type
2019-03-18 16:59:05 INFO  BaseUtil:847 - Click on Start Environment Release Icon
2019-03-18 17:00:39 INFO  BaseUtil:72 - Click on Release List Tab
2019-03-18 17:00:39 INFO  BaseUtil:82 - Click on Create New Release Button
2019-03-18 17:00:40 INFO  BaseUtil:95 - Clcik and Select ReleaseType
2019-03-18 17:00:40 INFO  BaseUtil:106 - Click on Release Textbox
2019-03-18 17:00:41 INFO  BaseUtil:117 - Release Name :TestMarch18_APP_Version11
2019-03-18 17:00:42 INFO  BaseUtil:129 - Click on Project Field and Select Project
2019-03-18 17:00:42 INFO  BaseUtil:142 - Click on Application Field and Select Application
2019-03-18 17:00:42 INFO  BaseUtil:155 - Click on Release Plan Field and Select Release Plan
2019-03-18 17:00:42 INFO  BaseUtil:191 - Click on Description
2019-03-18 17:00:43 INFO  BaseUtil:201 - Description :Release Description
2019-03-18 17:01:06 INFO  Hook:65 - Chrome Browser Closed Successfully
